"codigo_pedido","fecha_pedido","fecha_esperada","fecha_entrega","estado","comentarios","codigo_cliente"
89,"2007-10-05","2007-12-13","2007-12-10","Entregado","La entrega se realizo dias antes de la fecha esperada por lo que el cliente quedo satisfecho",35
90,"2009-02-07","2008-02-17",NULL,"Pendiente","Debido a la nevada caída en la sierra, el pedido no podrá llegar hasta el día ",27
91,"2009-03-18","2009-03-29","2009-03-27","Entregado","Todo se entregó a su debido tiempo, incluso con un día de antelación",27
92,"2009-04-19","2009-04-30","2009-05-03","Entregado","El pedido se entregó tarde debido a la festividad celebrada en España durante esas fechas",27
93,"2009-05-03","2009-05-30","2009-05-17","Entregado","El pedido se entregó antes de lo esperado.",27
94,"2009-10-18","2009-11-01",NULL,"Pendiente","El pedido está en camino.",27
95,"2008-01-04","2008-01-19","2008-01-19","Entregado",NULL,35
96,"2008-03-20","2008-04-12","2008-04-13","Entregado","La entrega se retraso un dia",35
97,"2008-10-08","2008-11-25","2008-11-25","Entregado",NULL,35
98,"2009-01-08","2009-02-13",NULL,"Pendiente",NULL,35
99,"2009-02-15","2009-02-27",NULL,"Pendiente",NULL,16
100,"2009-01-10","2009-01-15","2009-01-15","Entregado","El pedido llego perfectamente",16
101,"2009-03-07","2009-03-27",NULL,"Rechazado","El pedido fue rechazado por el cliente",16
102,"2008-12-28","2009-01-08","2009-01-08","Entregado","Pago pendiente",16
103,"2009-01-15","2009-01-20","2009-01-24","Pendiente",NULL,30
104,"2009-03-02","2009-03-06","2009-03-06","Entregado",NULL,30
105,"2009-02-14","2009-02-20",NULL,"Rechazado","el producto ha sido rechazado por la pesima calidad",30
106,"2009-05-13","2009-05-15","2009-05-20","Pendiente",NULL,30
107,"2009-04-06","2009-04-10","2009-04-10","Entregado",NULL,30
108,"2009-04-09","2009-04-15","2009-04-15","Entregado",NULL,16
109,"2006-05-25","2006-07-28","2006-07-28","Entregado",NULL,38
110,"2007-03-19","2007-04-24","2007-04-24","Entregado",NULL,38
111,"2008-03-05","2008-03-30","2008-03-30","Entregado",NULL,36
112,"2009-03-05","2009-04-06","2009-05-07","Pendiente",NULL,36
113,"2008-10-28","2008-11-09","2009-01-09","Rechazado","El producto ha sido rechazado por la tardanza de el envio",36
114,"2009-01-15","2009-01-29","2009-01-31","Entregado","El envio llego dos dias más tarde debido al mal tiempo",36
115,"2008-11-29","2009-01-26","2009-02-27","Pendiente",NULL,36
116,"2008-06-28","2008-08-01","2008-08-01","Entregado",NULL,38
117,"2008-08-25","2008-10-01",NULL,"Rechazado","El pedido ha sido rechazado por la acumulacion de pago pendientes del cliente",38
118,"2009-02-15","2009-02-27",NULL,"Pendiente",NULL,16
119,"2009-01-10","2009-01-15","2009-01-15","Entregado","El pedido llego perfectamente",16
120,"2009-03-07","2009-03-27",NULL,"Rechazado","El pedido fue rechazado por el cliente",16
121,"2008-12-28","2009-01-08","2009-01-08","Entregado","Pago pendiente",16
122,"2009-04-09","2009-04-15","2009-04-15","Entregado",NULL,16
123,"2009-01-15","2009-01-20","2009-01-24","Pendiente",NULL,30
124,"2009-03-02","2009-03-06","2009-03-06","Entregado",NULL,30
125,"2009-02-14","2009-02-20",NULL,"Rechazado","el producto ha sido rechazado por la pesima calidad",30
126,"2009-05-13","2009-05-15","2009-05-20","Pendiente",NULL,30
127,"2009-04-06","2009-04-10","2009-04-10","Entregado",NULL,30
128,"2008-11-10","2008-12-10","2008-12-29","Rechazado","El pedido ha sido rechazado por el cliente por el retraso en la entrega",38
