"codigo_pedido","codigo_producto","cantidad","precio_unidad","numero_linea"
53,"OR-116",6,7.00,4
54,"11679",3,14.00,3
54,"FR-100",45,10.00,2
54,"FR-18",5,4.00,1
54,"FR-79",3,22.00,4
54,"OR-116",8,7.00,6
54,"OR-123",3,5.00,5
54,"OR-168",2,10.00,7
55,"OR-115",9,7.00,1
55,"OR-213",2,266.00,2
55,"OR-227",6,64.00,5
55,"OR-243",2,64.00,4
55,"OR-247",1,462.00,3
56,"OR-129",1,115.00,5
56,"OR-130",10,18.00,6
56,"OR-179",1,6.00,3
56,"OR-196",3,10.00,4
56,"OR-207",4,4.00,2
56,"OR-250",3,10.00,1
57,"FR-69",6,91.00,4
57,"FR-81",3,49.00,3
57,"FR-84",2,13.00,1
57,"FR-94",6,9.00,2
58,"OR-102",65,18.00,3
58,"OR-139",80,4.00,1
58,"OR-172",69,15.00,2
58,"OR-177",150,15.00,4
74,"FR-67",15,70.00,1
74,"OR-227",34,64.00,2
74,"OR-247",42,8.00,3
75,"AR-006",60,1.00,2
75,"FR-87",24,22.00,3
75,"OR-157",46,10.00,1
76,"AR-009",250,1.00,5
76,"FR-79",40,22.00,3
76,"FR-87",24,22.00,4
76,"FR-94",35,9.00,1
76,"OR-196",25,10.00,2
77,"22225",34,12.00,2
77,"30310",15,12.00,1
78,"FR-53",25,8.00,2
78,"FR-85",56,70.00,3
78,"OR-157",42,10.00,4
78,"OR-208",30,4.00,1
79,"OR-240",50,6.00,1
80,"FR-11",40,100.00,3
80,"FR-36",47,9.00,2
80,"OR-136",75,18.00,1
81,"OR-208",30,4.00,1
82,"OR-227",34,64.00,1
83,"OR-208",30,4.00,1
89,"FR-108",3,32.00,2
89,"FR-3",15,7.00,6
89,"FR-42",12,8.00,4
89,"FR-66",5,49.00,1
89,"FR-87",4,22.00,3
89,"OR-157",8,10.00,5
90,"AR-001",19,1.00,1
90,"AR-002",10,1.00,2
90,"AR-003",12,1.00,3
91,"FR-100",52,11.00,1
91,"FR-101",14,13.00,2
91,"FR-102",35,18.00,3
92,"FR-108",12,23.00,1
92,"FR-11",20,100.00,2
92,"FR-12",30,21.00,3
93,"FR-54",25,9.00,1
93,"FR-58",51,11.00,2
93,"FR-60",3,32.00,3
94,"11679",12,14.00,1
94,"FR-11",33,100.00,3
94,"FR-4",79,29.00,2
95,"FR-10",9,7.00,2
95,"FR-75",6,32.00,1
95,"FR-82",5,70.00,3
96,"FR-43",6,8.00,1
96,"FR-6",16,7.00,4
96,"FR-71",10,22.00,3
96,"FR-90",4,70.00,2
97,"FR-41",12,8.00,1
97,"FR-54",14,9.00,2
97,"OR-156",10,10.00,3
98,"FR-33",14,8.00,4
98,"FR-56",16,8.00,3
98,"FR-60",8,32.00,1
98,"FR-8",18,6.00,5
98,"FR-85",6,70.00,2
99,"OR-157",15,10.00,2
99,"OR-227",30,64.00,1
100,"FR-87",20,22.00,1
100,"FR-94",40,9.00,2
101,"AR-006",50,1.00,1
101,"AR-009",159,1.00,2
102,"22225",32,12.00,2
102,"30310",23,12.00,1
103,"FR-53",12,8.00,2
103,"OR-208",52,4.00,1
104,"FR-85",9,70.00,1
104,"OR-157",113,10.00,2
105,"OR-227",21,64.00,2
105,"OR-240",27,6.00,1
106,"AR-009",231,1.00,1
106,"OR-136",47,18.00,2
107,"30310",143,12.00,2
107,"FR-11",15,100.00,1
108,"FR-53",53,8.00,1
108,"OR-208",59,4.00,2
109,"FR-22",8,4.00,5
109,"FR-36",12,9.00,3
109,"FR-45",14,8.00,4
109,"OR-104",20,10.00,1
109,"OR-119",10,5.00,2
109,"OR-125",3,5.00,6
109,"OR-130",2,18.00,7
110,"AR-010",6,1.00,3
110,"FR-1",14,7.00,1
110,"FR-16",1,45.00,2
116,"21636",5,14.00,1
116,"AR-001",32,1.00,2
116,"AR-005",18,1.00,5
116,"FR-33",13,8.00,3
116,"OR-200",10,4.00,4
117,"FR-78",2,15.00,1
117,"FR-80",1,32.00,3
117,"OR-146",17,4.00,2
117,"OR-179",4,6.00,4
128,"AR-004",15,1.00,1
128,"OR-150",18,2.00,2
52,"FR-67",10,70.00,1
59,"FR-67",10,70.00,1
60,"FR-67",10,70.00,1
61,"FR-67",10,70.00,1
62,"FR-67",10,70.00,1
63,"FR-67",10,70.00,1
64,"FR-67",10,70.00,1
65,"FR-67",10,70.00,1
66,"FR-67",10,70.00,1
67,"FR-67",10,70.00,1
68,"FR-67",10,70.00,1
111,"FR-67",10,70.00,1
112,"FR-67",10,70.00,1
113,"FR-67",10,70.00,1
114,"FR-67",10,70.00,1
115,"FR-67",10,70.00,1
118,"FR-67",10,70.00,1
119,"FR-67",10,70.00,1
120,"FR-67",10,70.00,1
121,"FR-67",10,70.00,1
122,"FR-67",10,70.00,1
123,"FR-67",10,70.00,1
124,"FR-67",10,70.00,1
125,"FR-67",10,70.00,1
126,"FR-67",10,70.00,1
127,"FR-67",10,70.00,1
